idCar;Car;Cylinders;Displacement;Horsepower;Weight;Acceleration;Model;Origin;MPG
0;Chevrolet Chevelle Malibu;8;307.0;130.0;3504.;12.0;70;US;18.0
1;Buick Skylark 320;8;350.0;165.0;3693.;11.5;70;US;15.0
2;Plymouth Satellite;8;318.0;150.0;3436.;11.0;70;US;18.0
3;AMC Rebel SST;8;304.0;150.0;3433.;12.0;70;US;16.0
4;Ford Torino;8;302.0;140.0;3449.;10.5;70;US;17.0
5;Ford Galaxie 500;8;429.0;198.0;4341.;10.0;70;US;15.0
6;Chevrolet Impala;8;454.0;220.0;4354.;9.0;70;US;14.0
7;Plymouth Fury iii;8;440.0;215.0;4312.;8.5;70;US;14.0
8;Pontiac Catalina;8;455.0;225.0;4425.;10.0;70;US;14.0
9;AMC Ambassador DPL;8;390.0;190.0;3850.;8.5;70;US;15.0
10;Citroen DS-21 Pallas;4;133.0;115.0;3090.;17.5;70;Europe;0
11;Chevrolet Chevelle Concours (sw);8;350.0;165.0;4142.;11.5;70;US;0
12;Ford Torino (sw);8;351.0;153.0;4034.;11.0;70;US;0
13;Plymouth Satellite (sw);8;383.0;175.0;4166.;10.5;70;US;0
14;AMC Rebel SST (sw);8;360.0;175.0;3850.;11.0;70;US;0
15;Dodge Challenger SE;8;383.0;170.0;3563.;10.0;70;US;15.0
16;Plymouth 'Cuda 340;8;340.0;160.0;3609.;8.0;70;US;14.0
17;Ford Mustang Boss 302;8;302.0;140.0;3353.;8.0;70;US;0
18;Chevrolet Monte Carlo;8;400.0;150.0;3761.;9.5;70;US;15.0
19;Buick Estate Wagon (sw);8;455.0;225.0;3086.;10.0;70;US;14.0
20;Toyota Corolla Mark ii;4;113.0;95.00;2372.;15.0;70;Japan;24.0
21;Plymouth Duster;6;198.0;95.00;2833.;15.5;70;US;22.0
22;AMC Hornet;6;199.0;97.00;2774.;15.5;70;US;18.0
23;Ford Maverick;6;200.0;85.00;2587.;16.0;70;US;21.0
24;Datsun PL510;4;97.00;88.00;2130.;14.5;70;Japan;27.0
25;Volkswagen 1131 Deluxe Sedan;4;97.00;46.00;1835.;20.5;70;Europe;26.0
26;Peugeot 504;4;110.0;87.00;2672.;17.5;70;Europe;25.0
27;Audi 100 LS;4;107.0;90.00;2430.;14.5;70;Europe;24.0
28;Saab 99e;4;104.0;95.00;2375.;17.5;70;Europe;25.0
29;BMW 2002;4;121.0;113.0;2234.;12.5;70;Europe;26.0
30;AMC Gremlin;6;199.0;90.00;2648.;15.0;70;US;21.0
31;Ford F250;8;360.0;215.0;4615.;14.0;70;US;10.0
32;Chevy C20;8;307.0;200.0;4376.;15.0;70;US;10.0
33;Dodge D200;8;318.0;210.0;4382.;13.5;70;US;11.0
34;Hi 1200D;8;304.0;193.0;4732.;18.5;70;US;9.0
35;Datsun PL510;4;97.00;88.00;2130.;14.5;71;Japan;27.0
36;Chevrolet Vega 2300;4;140.0;90.00;2264.;15.5;71;US;28.0
37;Toyota Corolla;4;113.0;95.00;2228.;14.0;71;Japan;25.0
38;Ford Pinto;4;98.00;0;2046.;19.0;71;US;25.0
39;Volkswagen Super Beetle 117;4;97.00;48.00;1978.;20.0;71;Europe;0
40;AMC Gremlin;6;232.0;100.0;2634.;13.0;71;US;19.0
41;Plymouth Satellite Custom;6;225.0;105.0;3439.;15.5;71;US;16.0
42;Chevrolet Chevelle Malibu;6;250.0;100.0;3329.;15.5;71;US;17.0
43;Ford Torino 500;6;250.0;88.00;3302.;15.5;71;US;19.0
44;AMC Matador;6;232.0;100.0;3288.;15.5;71;US;18.0
45;Chevrolet Impala;8;350.0;165.0;4209.;12.0;71;US;14.0
46;Pontiac Catalina Brougham;8;400.0;175.0;4464.;11.5;71;US;14.0
47;Ford Galaxie 500;8;351.0;153.0;4154.;13.5;71;US;14.0
48;Plymouth Fury iii;8;318.0;150.0;4096.;13.0;71;US;14.0
49;Dodge Monaco (sw);8;383.0;180.0;4955.;11.5;71;US;12.0
50;Ford Country Squire (sw);8;400.0;170.0;4746.;12.0;71;US;13.0
51;Pontiac Safari (sw);8;400.0;175.0;5140.;12.0;71;US;13.0
52;AMC Hornet Sportabout (sw);6;258.0;110.0;2962.;13.5;71;US;18.0
53;Chevrolet Vega (sw);4;140.0;72.00;2408.;19.0;71;US;22.0
54;Pontiac Firebird;6;250.0;100.0;3282.;15.0;71;US;19.0
55;Ford Mustang;6;250.0;88.00;3139.;14.5;71;US;18.0
