idCritic;rate
0;5
1;2
2;5
3;3
4;4
5;5
6;5
7;2
8;3
9;2
10;2
11;4
12;2
13;2
14;1
15;4
16;3
17;1
18;4
19;3
20;3
21;5
22;2
23;1
24;4
25;4
26;4
27;5
28;2
29;1
30;1
31;4
32;3
33;4
34;1
35;3
36;3
37;4
38;3
39;2
40;5
41;5
42;1
43;5
44;3
45;5
46;3
47;3
48;5
49;5
50;1
51;4
52;3
53;5
54;3
55;4
56;4
57;2
58;2
59;3
60;4
61;4
62;2
63;3
64;4
65;2
66;2
67;5
68;2
69;4
70;1
71;5
72;1
73;2
74;3
75;5
76;2
77;5
78;5
79;5
80;1
81;1
82;3
83;5
84;4
85;5
86;2
87;1
88;5
89;4
90;1
91;5
92;3
93;2
94;3
95;2
96;3
97;4
98;1
99;1
100;3
101;1
102;5
103;4
104;3
105;2
106;5
107;5
108;2
109;5
110;4
111;4
112;2
113;2
114;5
115;4
116;2
117;2
118;3
119;3
120;1
121;2
122;2
123;5
124;4
125;4
126;3
127;3
128;5
129;4
130;1
131;2
132;2
133;1
134;5
135;5
136;4
137;5
138;3
139;2
140;3
141;2
142;2
143;5
144;3
145;4
146;3
147;2
148;2
149;3
150;5
151;2
152;1
153;3
154;5
155;1
156;1
157;3
158;1
159;1
160;4
161;5
162;4
163;2
164;4
165;3
166;4
167;5
168;3
169;3
170;5
171;3
172;1
173;2
174;1
175;4
176;1
177;3
178;4
179;1
180;5
181;4
182;4
183;5
184;2
185;4
186;3
187;2
188;5
189;3
190;3
191;1
192;1
193;5
194;5
195;2
196;5
197;3
198;2
199;3
200;3
201;5
202;3
203;2
204;5
205;4
206;2
207;3
208;5
209;4
210;5
211;1
212;2
213;1
214;5
215;3
216;5
217;1
218;3
219;4
220;1
221;3
222;3
223;3
224;2
225;3
226;4
227;3
228;3
229;4
230;5
231;1
232;4
233;3
234;4
235;3
236;1
237;2
238;1
239;5
240;3
241;1
242;5
243;4
244;1
245;3
246;5
247;4
248;1
249;2
250;2
251;4
252;5
253;3
254;1
255;2
256;4
257;3
258;1
259;2
260;5
261;3
262;3
263;1
264;5
265;1
266;2
267;1
268;1
269;1
270;5
271;5
272;4
273;1
274;3
275;2
276;2
277;3
278;3
279;3
280;1
281;2
282;5
283;2
284;1
285;4
286;1
287;3
288;4
289;1
290;1
291;2
292;3
293;5
294;2
295;3
296;1
297;3
298;1
299;3
300;5
301;1
302;2
303;4
304;3
305;4
306;2
307;2
308;1
309;3
310;2
311;4
312;4
313;3
314;1
315;2
316;1
317;1
318;5
319;2
320;2
321;4
322;3
323;4
324;4
325;5
326;2
327;5
328;4
329;3
330;3
331;3
332;4
333;1
334;1
335;4
336;2
337;2
338;4
339;1
340;2
341;5
342;3
343;5
344;4
345;3
346;1
347;4
348;1
349;2
350;1
351;2
352;3
353;5
354;5
355;3
356;1
357;5
358;2
359;2
360;2
361;3
362;1
363;4
364;4
365;5
366;3
367;1
368;2
369;2
370;1
371;1
372;1
373;4
374;2
375;5
376;3
377;4
378;4
379;5
380;2
381;3
382;4
383;1
384;1
385;1
386;3
387;3
388;3
389;1
390;2
391;5
392;1
393;3
394;5
395;2
396;1
397;4
398;3
399;2
400;4
401;1
402;3
403;3
404;4
405;4
